opportunity_id,chunk_id,chunk_index,chunk_text,source,opportunity_type_canonical,discipline_canonical
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_0,0,"Funding is available for professional artists and cultural practitioners (such as curators, producers, literary translators, cultural editors or researchers) in all forms of art and culture.",nordic_culture_point,['Grant/Funding'],['Multidisciplinary']
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_1,1,Applications may be submitted by individuals or organisations. “Professional” means that there is documented experience of work in the field of art and culture and/or training in art or culture.,nordic_culture_point,['Grant/Funding'],['Multidisciplinary']
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_2,2,"To apply for network funding, you must be a resident of the Nordic Region (Denmark, Finland, the Faroe Islands, Greenland, Iceland, Norway, Sweden, or Åland) or the Baltic countries (Estonia, Latvia, or Lithuania), although you do not need to be a Nordic or Baltic citizen.",nordic_culture_point,['Grant/Funding'],['Multidisciplinary']
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_3,3,"Groups, organisations, and institutions must be registered in a Nordic or Baltic country in order to apply.",nordic_culture_point,['Grant/Funding'],['Multidisciplinary']
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_4,4,"The network must consist of partners from: at least three Nordic and/or Baltic countries (Denmark, Estonia, Finland, the Faroe Islands, Greenland, Iceland, Latvia, Lithuania, Norway, Sweden, and Åland.) The network may include additional partners who do not operate in the Nordic or Baltic region.",nordic_culture_point,['Grant/Funding'],['Multidisciplinary']
kunsten_be_flanders_29113af76b09,kunsten_be_flanders_29113af76b09_0,0,"the Berlin Biennale invites a group of fifteen early-career curators, educators, and other practitioners to participate in this seven-day workshop.",kunsten_be_flanders,['Workshop/Training'],['Curating/Art Criticism']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_0,0,"Smaller theatres, performing arts groups, independent performing artists and operators organising or working with performing arts activities can apply for grants of max.",kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_1,1,"DKK 100,000 for international performing arts activities.",kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_2,2,Who may apply?,kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_3,3,"Smaller theatres, performing arts groups, independent performing artists and operators organising or working with performing arts activities.",kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_4,4,Who may not apply?,kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_5,5,"Support cannot be granted for projects, which are carried out exclusively by the large institutional theatres.",kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_6,6,"By large institutional theatres we mean The Royal Danish Theatre, the Danish regional theatres, the Jutland Opera, and the theatres in the Copenhagen theatre association may not apply.",kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
