opportunity_id,chunk_id,chunk_text,label,excludes,notes
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_0,"Funding is available for professional artists and cultural practitioners (such as curators, producers, literary translators, cultural editors or researchers) in all forms of art and culture.",DISCIPLINE,False,
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_1,Applications may be submitted by individuals or organisations. “Professional” means that there is documented experience of work in the field of art and culture and/or training in art or culture.,CAREER_STAGE,False,
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_2a,"To apply for network funding, you must be a resident of the Nordic Region (Denmark, Finland, the Faroe Islands, Greenland, Iceland, Norway, Sweden, or Åland) or the Baltic countries (Estonia, Latvia, or Lithuania).",RESIDENCE,False,split (Option B) from a RESIDENCE+NATIONALITY compound sentence
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_2b,you do not need to be a Nordic or Baltic citizen,NATIONALITY,False,"split (Option B); clarifies nationality is explicitly NOT required, new edge case for SS6 -- flagged for review"
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_3,"Groups, organisations, and institutions must be registered in a Nordic or Baltic country in order to apply.",OTHER_ELIGIBILITY,False,"only apply to Groups, organisations, and institutions, no to single artist"
nordic_culture_point_99a3ce7db217,nordic_culture_point_99a3ce7db217_4,"The network must consist of partners from: at least three Nordic and/or Baltic countries (Denmark, Estonia, Finland, the Faroe Islands, Greenland, Iceland, Latvia, Lithuania, Norway, Sweden, and Åland.) The network may include additional partners who do not operate in the Nordic or Baltic region.",OTHER_ELIGIBILITY,False,"only apply to Groups, organisations, and institutions, no to single artist"
kunsten_be_flanders_29113af76b09,kunsten_be_flanders_29113af76b09_0,"the Berlin Biennale invites a group of fifteen early-career curators, educators, and other practitioners to participate in this seven-day workshop.",CAREER_STAGE,False,also states about discipline
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_0,"Smaller theatres, performing arts groups, independent performing artists and operators organising or working with performing arts activities can apply for grants of max.",DISCIPLINE,False,
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_1,"DKK 100,000 for international performing arts activities.",DISCIPLINE,False,
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_2,Who may apply?,NONE,False,
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_3,"Smaller theatres, performing arts groups, independent performing artists and operators organising or working with performing arts activities.",DISCIPLINE,False,
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_4,Who may not apply?,NONE,False,
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_5,"Support cannot be granted for projects, which are carried out exclusively by the large institutional theatres.",OTHER_ELIGIBILITY,True,"only apply to Groups, organisations, and institutions, no to single artist"
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_6,"By large institutional theatres we mean The Royal Danish Theatre, the Danish regional theatres, the Jutland Opera, and the theatres in the Copenhagen theatre association may not apply.",OTHER_ELIGIBILITY,True,"only apply to Groups, organisations, and institutions, no to single artist"
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_7,You cannot receive funding for the following purposes activities initiated ahead of the deadline educational purposes for individuals,NONE,True,
kunsten_be_flanders_0c520b567ceb,kunsten_be_flanders_0c520b567ceb_0,The Rencontres d’Arles curatorial research grant is aimed at exhibition curators wishing to carry out an original project relating to image or photography.,DISCIPLINE,False,also states about discipline
kulturdirektoratet_norway_424c960502a7,kulturdirektoratet_norway_424c960502a7_0,Publishers with a Norwegian organization number may apply for this scheme.,DISCIPLINE,False,also states about organization location
kulturdirektoratet_norway_424c960502a7,kulturdirektoratet_norway_424c960502a7_1,It is important that you as the publisher have entered into an agreement with the author and any other creators (such as illustrators and translators) before applying.,NONE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_0,We are looking for experienced dancers and circus artists with a strong physical presence and technical ability.,DISCIPLINE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_1,"Performers who are versatile, comfortable with working in both acrobatic and dance-based contexts, and who can engage with abstract concepts while bringing their own individuality and creativity to the process.",DISCIPLINE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_2,It is preferred that you live in the area around Rotterdam.,RESIDENCE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_3,"Marta & Kim are searching for a total of 2 additional performers, who meet the following conditions:",DISCIPLINE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_4,HBO level circus or dance trained,EDUCATION,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_5,"Relevant stage experience is highly valued •.Experience and talent for partnering, but also able to execute solo material",CAREER_STAGE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_6,Able to commute to our studio space at Dansateliers Rotterdam (we can’t provide accommodation during rehearsals),RESIDENCE,False,
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_7,Availability for rehearsals and touring.,OTHER_ELIGIBILITY,False,"availability for touring, traveling etc"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_0,"Applications can only be submitted by visual artists who have been professionally active for at least 1 year: If you have completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on your diploma will be considered the start of your professional practice.",CAREER_STAGE,False,also states about discipline
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_1,"If there is an interim period between your graduation from the Bachelor’s programme with a visual arts curriculum and the start of your Master’s programme, this period will be considered as part of your professional practice.",CAREER_STAGE,False,"also states about career stage; consistency fix: part of the same start-of-professional-practice definitional rule as _0, not a standalone EDUCATION requirement"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_2,"If you have not completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on which you first presented work in professional art circles will be considered the start of your professional practice.",CAREER_STAGE,False,"also states about education; consistency fix: part of the same start-of-professional-practice definitional rule as _0, not a standalone EDUCATION requirement"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_3a,"In order to be eligible for a contribution, you must be artistically and substantively active within the visual arts field.",DISCIPLINE,False,"split (Option B) from a DISCIPLINE+RESIDENCE compound sentence, was OTHER_ELIGIBILITY"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_3b,"in this capacity, part of the professional art practice in the Netherlands and/or the Caribbean part of the Kingdom.",RESIDENCE,False,"split (Option B) from a DISCIPLINE+RESIDENCE compound sentence, was OTHER_ELIGIBILITY"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_4,You cannot apply for or use a contribution while enrolled to study at educational institutions for e.g.,STUDENT_STATUS,True,"relabeled EDUCATION->STUDENT_STATUS: enrollment-exclusion sentence, not a degree requirement (SS2)"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_5,"Bachelor’s, Master’s or postdoctoral programmes.",STUDENT_STATUS,False,"the chunk does not exclude, the sentence does; relabeled EDUCATION->STUDENT_STATUS: enrollment-exclusion sentence, not a degree requirement (SS2)"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_6,This also applies to participation in programmes at postgraduate institutions and to PhD programmes.,STUDENT_STATUS,False,"notes (optional)> the chunk does not exclude, the sentence does; relabeled EDUCATION->STUDENT_STATUS: enrollment-exclusion sentence, not a degree requirement (SS2)"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_7,The exception is part-time programmes (not Bachelor’s programmes) of less than 20 hours a week.,STUDENT_STATUS,False,"relabeled EDUCATION->STUDENT_STATUS: enrollment-exclusion sentence, not a degree requirement (SS2)"
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_0,"We are inviting anyone to send us a proposal to create a performance, character or small happening around the (social) aspects of drinking tea (ceremonial, historical, colonial, its gossipy aspect etc) to be presented during our Dress-up-tea-Party.",DISCIPLINE,False,
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_1,"For the ‘Dress-up’ part of our party, we welcome fashion- & costume designers to send a proposal of a selection of pieces/ costumes (from their oeuvre) to be used during the Dress-Up-Tea-Party.",DISCIPLINE,False,
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_2,Your pieces will be actively worn by visitors/participants and will be handled with care.,NONE,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_0,"Eligible for support are Dutch-Belgian co-projects across all disciplines, but special attention is given to the performing arts, contemporary visual arts, the creative industries (especially architecture, design, fashion and digital art), and cultural heritage.",NATIONALITY,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_1,Multidisciplinary projects are also welcome.,DISCIPLINE,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_2,"In addition, the embassy welcomes projects that explore innovative formats and presentation methods, cross-border cultural exchange, and initiatives that promote participation and inclusion, equal rights, and sustainability.",DISCIPLINE,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_3,"Projects must take place in Belgium, unless they involve virtual collaboration.",RESIDENCE,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_4,Special attention is given to projects taking place in Wallonia and the Meuse-Rhine Euregion.,RESIDENCE,False,
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_5,Note: only the Belgian partner can apply for this funding.,NATIONALITY,False,
vkkf_konkursu_grafiks_1c89433f51e6,vkkf_konkursu_grafiks_1c89433f51e6_0,"The objectives, tasks, applicant eligibility and other issues related to the conduct of the program competition are set out in the regulations of each target program competition.",NONE,False,"refers to external regulations, states nothing itself"
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_0,No prior professional experience in performance is required.,CAREER_STAGE,False,"explicit non-requirement clause (SS6 edge case), clarifies CAREER_STAGE is waived"
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_1,Participants contribute to situated individual and speculative narratives embedded in the architectural and institutional context.,NONE,False,"describes project content, not an applicant criterion"
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_2,A connection to the local context and openness to collaborative work are essential.,OTHER_ELIGIBILITY,False,"borderline NONE (soft phrasing) but worded as essential criterion, not aspiration -- kept"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_0,You are a performing musician,DISCIPLINE,False,
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_1,You are pursuing a master’s degree or have just graduated as a musician,STUDENT_STATUS,False,"both enrolled and recently-graduated map to STUDENT_STATUS, no split needed"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_2,You are building a career in Flanders or Brussels.,RESIDENCE,False,"soft phrasing, treated as geographic-tie signal"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_3,"Because some of the topics we will discuss (such as the different statutes or developing projects) are tied to a specific context, we believe the workshop will be most useful for those who work or will work in this context.",NONE,False,"soft suggestion of fit, not a stated constraint"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_4,"Specifically, the workshop is intended for those who:",NONE,False,intro fragment to a following list
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_5,have studied or are studying at a Flemish or Brussels Conservatoire.,EDUCATION,False,"fused EDUCATION/STUDENT_STATUS (past+present tense of one criterion: trained at this institution), not an independent-clause split candidate, kept EDUCATION as dominant"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_6,want to build a career in Flanders or Brussels.,RESIDENCE,False,"same as _2, soft phrasing"
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_7,You work with early music,DISCIPLINE,False,
deutscher_uebersetzerfonds_c207b387a453,deutscher_uebersetzerfonds_c207b387a453_0,Work grant (target language German),DISCIPLINE,False,translation practice targeting German = the required discipline
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_0,"We are looking for a person whose artistic practice is centered around hosting and hospitality, someone who builds an open and curious space where creation can appear unexpectedly.",DISCIPLINE,False,
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_1,"We are looking for someone who: works across disciplines (textile, movement, ceramics, poetry, cooking, etc.); blends art, hospitality, care, and community; feels comfortable in multilingual settings; is familiar with migration (by lived experience or affinity); can listen, let go, and stay open to the unexpected; prefers process over product; enjoys collaborating with people with no artistic training but strong imagination.",DISCIPLINE,False,"long soft list, DISCIPLINE dominant (multidisciplinary practice), rest mostly non-checkable personal-quality language"
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_2,"We especially welcome applications from artists with migration backgrounds, artists of color, queer, neurodiverse, and non-binary artists.",NONE,False,"outreach/values statement, matches SS3 ""diverse range of backgrounds"" example closely"
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_0a,Private legal persons with headquarters in Portugal.,RESIDENCE,False,"split (Option B) from a RESIDENCE+DISCIPLINE compound sentence, independent clause boundary"
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_0b,"who carry out, on a predominant basis, professional activities here in one or more of the artistic areas provided for in Article 1, paragraph 2 of Decree-Law No.",DISCIPLINE,False,split (Option B) from a RESIDENCE+DISCIPLINE compound sentence
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_1,"103/2017, of 24 August, in its current wording, in accordance with the following access conditions:",NONE,False,legal-citation fragment + list intro
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_2,Biennial support modality: have at least four years of continuous professional activity;,CAREER_STAGE,False,"years of practice, not age (SS3 distinction)"
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_3a,Quadriennial support modality: have at least six years of continuous professional activity;,CAREER_STAGE,False,"split (Option B) from a CAREER_STAGE+OTHER_ELIGIBILITY compound sentence, semicolon boundary"
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_3b,"have benefited, at least once in the last six years, from financial support from the State through DGARTES in the support type",OTHER_ELIGIBILITY,False,"split (Option B); matches SS2 positive example ""open only to previous grant recipients"""
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_4,"Private foundations or public foundations under private law that have another type of continuous funding, ensured by the budget programme of the culture area, as well as associations mainly constituted by public entities and companies in the state business sector and of the autonomous regions, are not admitted to the tender procedure.",OTHER_ELIGIBILITY,True,entity-type exclusion
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_5,Entities that have signed an addendum to renew the sustained support contract in the quadriennial modality are not admitted to the tender procedure.,OTHER_ELIGIBILITY,True,prior-contract-status exclusion
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_6,"Entities must frame their activity in only one application and, in the event of support being granted, the respective contract constitutes the sole support instrument for the period for which it is intended, except as provided for in Article 26(4) of Decree-Law No.",NONE,False,"procedural/application-process rule, not applicant eligibility"
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_7,"103/2017, of 24 August, in its current wording.",NONE,False,legal-citation continuation fragment
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_0,Organizational Focus: Grants are available to legal entities/organizations.,OTHER_ELIGIBILITY,False,"entity-type criterion (org vs individual), matches ""institution type -> OTHER_ELIGIBILITY"" note under DISCIPLINE row"
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_1,Open Sectoral Approach: No strict sectoral restrictions; participation is open to all cultural and creative sectors with a focus on participatory and socially-engaged work.,DISCIPLINE,False,"explicit non-requirement clause (SS6 edge case), clarifies no DISCIPLINE restriction"
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_2,Limitation is the Audiovisual sector (MEDIA).,DISCIPLINE,True,sector exclusion
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_3,"Benelux Interest: Specifically tailored for organizations from Flanders, Luxembourg, the Netherlands, and Wallonia looking for high-impact international cooperation with Ukraine.",RESIDENCE,False,named-region geographic-origin criterion for the applying organization
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_0a,"Visual artists, independent curators, art critics and art observers.",DISCIPLINE,False,split (Option B) from a DISCIPLINE+RESIDENCE compound sentence
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_0b,based in the Netherlands and the Caribbean part of the Kingdom.,RESIDENCE,False,split (Option B) from a DISCIPLINE+RESIDENCE compound sentence
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_1,"The activity associated with the application is part of a publicly accessible programme, such as a lecture, performance, book presentation or participation on a panel.",OTHER_ELIGIBILITY,False,"checkable requirement on the application itself, not a values statement"
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_2,"The artist, curator or art observer has received an invitation from a contemporary visual art institution, venue, festival or symposium outside of the Netherlands with demonstrable and internationally recognised programming in the field of contemporary visual art.",OTHER_ELIGIBILITY,False,must-have-invitation requirement
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_3,"The invitation shows that the institution, venue, festival or symposium is offering the artist, curator or art observer a realistic fee for their participation in the public programme.",OTHER_ELIGIBILITY,False,continuation of the invitation/fee requirement
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_4,Voucher International can be awarded no more than twice per applicant within a 12-month period.,OTHER_ELIGIBILITY,False,"award-frequency cap, prior-recipient-style condition"
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_5,"For artists: You must have been working as a professional visual artist for at least 1 year: If you have completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on your diploma will be considered the start of your professional practice.",CAREER_STAGE,False,"same start-of-practice definitional pattern as mondriaan_fund_a939eddff305_0, not split (nested, not independent)"
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_6,"If there is an interim period between your graduation from the Bachelor’s programme with a visual arts curriculum and the start of your Master’s programme, this period will be considered as part of your professional practice.",CAREER_STAGE,False,same definitional pattern
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_7,"If you have not completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on which you first presented work in professional art circles will be considered the start of your professional practice.",CAREER_STAGE,False,same definitional pattern
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_8a,"In order to be eligible for a contribution, you must be artistically and substantively active within the visual arts field.",DISCIPLINE,False,split (Option B) from a DISCIPLINE+RESIDENCE compound sentence
