opportunity_id,chunk_id,chunk_text,reason
mondriaan_fund_3b86b5d4af2f,mondriaan_fund_3b86b5d4af2f_2,You,"genuine upstream truncation in source text, not a real sentence"
kunstlerhaus_bethanien_25455ce5e85d,kunstlerhaus_bethanien_25455ce5e85d_0,"To apply, you must: be a New Zealand citizen or permanent resident have a strong national reputation as a visual artist, which means you have: - received critical recognition for your work, or - completed a body of work acknowledged for its artistic excellence You must be available to base yourself in Berlin between 15 January and 15 December 2027.","genuinely multi-constraint (NATIONALITY+RESIDENCE+DISCIPLINE+OTHER_ELIGIBILITY+RESIDENCE) but source text is missing punctuation between clauses (e.g. ""excellence You must""), no reliable boundary to split at -- needs manual review, not a mechanical split"
fpu_slovakia_432262479bbc,fpu_slovakia_432262479bbc_0,for eligible applicants,"floating fragment, no stated criterion, likely a mis-split heading"
kunsten_be_flanders_6fb802635c01,kunsten_be_flanders_6fb802635c01_0,Studeer je of werk je volgend academiejaar aan Associatie KU Leuven (incl.,"untranslated Dutch -- requirements_text_en pipeline gap for this opportunity, not English despite the column name; flagging for a separate data-quality check rather than translating inline"
kunsten_be_flanders_6fb802635c01,kunsten_be_flanders_6fb802635c01_1,LUCA School of Arts)?,"untranslated Dutch, continuation of _0, same reason"
kunsten_be_flanders_6fb802635c01,kunsten_be_flanders_6fb802635c01_2,Ben je op zoek naar een ruimte voor je artistieke praktijk?,"untranslated Dutch, same reason"
kulturdirektoratet_norway_0829c1124ca4,kulturdirektoratet_norway_0829c1124ca4_3,We are looking for participants with: an artistic vision and interest in sustainability willingness to explore new approaches to touring and international collaboration motivation to participate in international collaboration National music and performing arts institutions with operating grants from the state budget's chapter 323/item 70 will not be prioritized.,"mostly soft/vague run-on plus one genuine concrete exclusion at the end, but missing punctuation between clauses gives no reliable split boundary -- needs manual review"
cyprus_funding_programmes_culture_7d4c26b8a3df,cyprus_funding_programmes_culture_7d4c26b8a3df_0,"Order to be eligible, the applicants (beneficiaries and affiliated entities) must: be legal entities (public or private bodies) be established in one of the eligible countries, i.e.: Creative Europe Participating Countries: EU Member States (including overseas countries and territories (OCTs) non-EU countries: listed EEA countries and countries associated to the Creative Europe Programme or countries which are in ongoing ne","missing punctuation between clauses, and cut off mid-word (""ongoing ne...""), no reliable split boundary -- needs manual review"
institut_francais_programs_bfba154d624a,institut_francais_programs_bfba154d624a_0,"Le FCFA soutient uniquement des projets proposés par les représentations diplomatiques française et allemande à l'étranger : services culturels des Ambassades ou Consulats, Instituts français, Alliances françaises, Goethe-Institut.","untranslated French -- requirements_text_en pipeline gap for this opportunity, not English despite the column name; flagging for a separate data-quality check rather than translating inline"
institut_francais_programs_bfba154d624a,institut_francais_programs_bfba154d624a_1,"Les réseaux diplomatiques français et allemand du pays d'accueil conçoivent et montent un projet commun, en partenariat étroit avec les institutions et interlocuteurs locaux.","untranslated French -- requirements_text_en pipeline gap for this opportunity, not English despite the column name; flagging for a separate data-quality check rather than translating inline"
institut_francais_programs_bfba154d624a,institut_francais_programs_bfba154d624a_2,"Si le projet est retenu, il est mené conjointement par les partenaires français et allemand.","untranslated French -- requirements_text_en pipeline gap for this opportunity, not English despite the column name; flagging for a separate data-quality check rather than translating inline"
bmwkms_austria_9877daa33711,bmwkms_austria_9877daa33711_0,"Associations, groups of artists (for associations/groups of artists with registered office abroad, the project must have a connection to Austria; individual persons with Austrian citizenship or permanent residence in Austria; submission of projects (exhibitions or other undertakings) that take place in institutions which already receive annual programme funding from the BMWKMS is not possible.","multiple distinct constraints (entity-type, RESIDENCE-connection, NATIONALITY/RESIDENCE, prior-funding exclusion) crammed together with broken/unclear parenthetical structure -- needs manual review"
bmwkms_austria_9877daa33711,bmwkms_austria_9877daa33711_1,"Individual persons with Austrian citizenship or permanent residence in Austria Associations, institutions or other legal entities with registered office in Austria for applicants with registered office abroad, the project or the artistic CV must have a connection to Austria undertakings that pursue a purely commercial intention are not recommended for funding, as are projects (exhibitions, publications, etc.) in commercial Austrian galleries/institutions, participation in trade fairs undertakings by persons who are still in training are not recommended for funding, as are projects by universities or projects within the framework of university studies projects or undertakings that are part of already funded annual programmes or projects cannot be recommended for funding funding of projects, exhibitions in/from Austrian territorial authorities and their institutions cannot be funded, and scholarship programmes of the Austrian federal provinces are also not supported.","massive run-on, many distinct clauses with no punctuation between them, no reliable split boundary -- needs manual review"
